รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67
01355107," ทักษะการเขียนภาษาอังกฤษที่จำเป็น
 (Essential English Writing Skills)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01355108," ภาษาอังกฤษและวัฒนธรรมจากเพลง
 (English and Culture through Songs)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01355109," ทักษะการฟัง-การพูดภาษาอังกฤษที่จำเป็น
 (Essential English Listening-Speaking Skills)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01355119," ทักษะการอ่านภาษาอังกฤษที่จำเป็น
 (Essential English Reading Skills)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01355121," คำและการออกเสียงในภาษาอังกฤษ
 (English Words and Pronunciation)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01355201," การอ่านและเขียนภาษาอังกฤษอย่างมีวิจารณญาณ
 (Critical Reading and Writing in English)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01355202," การเขียนรายงานภาษาอังกฤษ
 (Report Writing in English)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01355203," โครงสร้างภาษาอังกฤษ 
 (English Language Structure)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01355204," ทักษะการนำเสนอโครงงานเป็นภาษาอังกฤษ 
 (Project Presentation Skills in English)
 *** ชื่อเดิม:  การนำเสนอโครงงานเป็นภาษาอังกฤษ",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01355205," ภาษาอังกฤษเพื่อสื่อสารมวลชน 
 (English for mass Communication)
 *** ชื่อเดิม:  การอ่านภาษาอังกฤษด้านสื่อสารมวลชน",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
